
AL,Alabama,Kay Ivey,Camellia
AK,Alaska,Mike Dunleavy,Forget-me-not
AZ,Arizona,Katie Hobbs,Saguaro Cactus Blossom
AR,Arkansas,Sarah Huckabee Sanders,Apple Blossom
CA,California,Gavin Newsom,California Poppy
CO,Colorado,Jared Polis,Rocky Mountain Columbine
CT,Connecticut,Ned Lamont,Mountain Laurel
DE,Delaware,John Carney,Peach Blossom
FL,Florida,Ron DeSantis,Orange Blossom
GA,Georgia,Brian Kemp,Cherokee Rose
HI,Hawaii,Josh Green,Hawaiian Hibiscus
ID,Idaho,Brad Little,Syringa
IL,Illinois,J.B. Pritzker,Violet
IN,Indiana,Eric Holcomb,Peony
IA,Iowa,Kim Reynolds,Wild Prairie Rose
KS,Kansas,Laura Kelly,Sunflower
KY,Kentucky,Andy Beshear,Goldenrod
LA,Louisiana,John Bel Edward,Magnolia
ME,Maine,Janet Mills,White Pine Cone and Tassel
MD,Maryland,Wes Moore,Black-eyed Susan
MA,Massachusetts,Maura Healey,Mayflower
MI,Michigan,Gretchen Whitmer,Apple Blossom
MN,Minnesota,Tim Walz, Pink and White Lady's Slipper
MS,Mississippi,Tate Reeves,Magnolia
MO,Missouri,Mike Parson,Hawthorn
MT,Montana,Greg Gianforte,Bitterroot
NE,Nebraska,Jim Pillen,Goldenrod
NV,Nevada,Joe Lombardo,Sagebrush
NH,New Hampshire,Chris Sununu,Purple Lilac
NJ,New Jersey,Phil Murphy,Violet
NM,New Mexico,Michelle Lujan Grisham,Yucca Flower
NY,New York,Kathy Hochul,Rose
NC,North Carolina,Roy Cooper,Dogwood
ND,North Dakota,Doug Burgum,Wild Prairie Rose
OH,Ohio,Mike DeWine,Scarlet Carnation
OK,Oklahoma,Kevin Stitt,Oklahoma Rose
OR,Oregon,Tina Kotek,Oregon Grape
PA,Pennsylvania,Josh Shapiro,Mountain Laurel
RI,Rhode Island,Dan McKee,Violet
SC,South Carolina,Henry McMaster,Yellow Jessamine
SD,South Dakota,Kristi Noem,Pasque Flower
TN,Tennessee,Bill Lee,Iris
TX,Texas,Greg Abbott,Bluebonnet
UT,Utah,Spencer Cox,Sego Lily
VT,Vermont,Phil Scott,Red Clover
VA,Virginia,Glenn Youngkin,Dogwood
WA,Washington,Jay Inslee,Coast Rhododendron
WV,West Virginia,Jim Justice,Rhododendron
WI,Wisconsin,Tony Evers,Wood Violet
WY,Wyoming,Mark Gordon,IndianPaintbrush
